Variant,Train_Entries,Train_Tickers,Train_Trades,Train_Days,Test_Days,Selection_Cutoff,Train_CAGR_Pst,Test_CAGR_Pst,Full_CAGR_Pst,Full_Calendar_CAGR_Pst,Train_Turnover_Per_Year_Pst,Train_Moderate_CAGR_Pst,Test_Moderate_CAGR_Pst,Train_Stress_CAGR_Pst,Test_Stress_CAGR_Pst,Train_Stress_First_Half_CAGR_Pst,Train_Stress_Second_Half_CAGR_Pst,Train_Stress_Worst_Half_CAGR_Pst,Selected,Baseline
daglig,233,100,4500,445,303,2025-06-30,26.848539654930637,31.913604168054533,29.11,28.87020460820522,3961.9324475536746,19.480629374588567,23.843493291023222,-7.851445201904605,-5.838975120381695,-14.269789718644432,-1.0181627784210945,-14.269789718644432,NEI,JA
hendelse-20,221,95,2817,445,303,2025-06-30,25.78565977025582,30.066341932683983,27.72,27.497171126445895,3916.936216466605,18.56729852861072,22.49602271375646,-8.222215725050075,-5.533510806270314,-12.722243967536373,-3.5346701566500216,-12.722243967536373,NEI,NEI
forfall-60,255,100,2911,445,303,2025-06-30,31.28754938491283,33.05932849018085,32.27,32.000217724284965,5292.42833592211,21.264663582734443,22.979688433245183,-14.111840498781113,-12.655357403728118,-15.921886476566726,-12.279970630647263,-15.921886476566726,NEI,NEI
scorevektet,255,100,2913,445,303,2025-06-30,31.52249175709865,34.20011022308251,32.87,32.59734574759603,4573.382552225488,22.805433183473788,25.406900000337895,-8.86198689284866,-6.6053660920223685,-9.329328080237897,-8.39655752099252,-9.329328080237897,JA,NEI
konsentrert,214,88,1824,445,303,2025-06-30,28.84772532202271,27.059626448741113,28.35,28.122599107264932,5031.330893608278,19.514679050327665,17.836936723401607,-13.795723165837103,-15.068178327791781,-14.49101372217253,-13.101235577823655,-14.49101372217253,NEI,NEI
